battlevoice_chr000_100,"Hyde: C'mon out, Insulator!"
battlevoice_chr000_101,Hyde: If you're gonna get in my way... I'll just mop you up!
battlevoice_chr000_102,Hyde: ...My power'll finish the job!
battlevoice_chr000_103,Hyde: Lemme show you... my power!
battlevoice_chr000_108,"Hyde: I'm not gonna be the same old Hyde forever, y'know."
battlevoice_chr000_111,Hyde: Sure have. And I've got you to thank for it.
battlevoice_chr000_113,Hyde: H-Hey! Don't say stuff that people might get twisted!
battlevoice_chr000_115,"Hyde: Welp, I guess we gotta settle things, anyway."
battlevoice_chr000_118,Hyde: Yet another bastard who never learns...
battlevoice_chr000_121,Hyde: What can I say? I'm a rebel. Nothing personal.
battlevoice_chr000_124,"Hyde: All right, time to drop the curtain!"
battlevoice_chr000_127,"Hyde: Tch. Can't believe I'm stuck with you, apparently."
battlevoice_chr000_130,"Hyde: ...Can't you just play nice and back down, already?"
battlevoice_chr000_133,Hyde: I didn't wanna fight you.
battlevoice_chr000_136,Hyde: You just might be the hardest one to deal with of all...
battlevoice_chr000_138,Hyde: Yeesh. Y'know what the scariest thing about you is? You almost look human.
battlevoice_chr000_151,Hyde: The wind's... pretty rough...
battlevoice_chr000_152,"Hyde: What...? All show and no substance, huh?"
battlevoice_chr000_155,Hyde: Just take a nap there.
battlevoice_chr000_156,Hyde: I guess this means I've grown.
battlevoice_chr000_157,Hyde: This is... my power...
battlevoice_chr000_160,Hyde: Th-That was a close one...
battlevoice_chr000_164,Hyde: Y'know... That wasn't as big a deal as I thought.
battlevoice_chr000_169,Hyde: See how I've grown? Leave the rest to me.
battlevoice_chr000_171,"Hyde: Sorry, Harada! I'll make it up to you sometime!"
battlevoice_chr001_100,Linne: Here comes trouble.
battlevoice_chr001_101,Linne: It looks like I've bumped into a real bother.
battlevoice_chr001_108,Linne: Obviously. You don't have to tell me that.
battlevoice_chr001_111,"Linne: Ah, when you live long enough, you start to forget things."
battlevoice_chr001_114,Linne: Not to worry. It'll all be over soon.
battlevoice_chr001_117,Linne: It's been a while since I had a serious fight.
battlevoice_chr001_120,"Linne: Not the way you are now, you won't."
battlevoice_chr001_131,Linne: Are you awake yet?
battlevoice_chr001_132,Linne: What? It's nothing to get discouraged about.
battlevoice_chr001_136,Linne: Are you even trying?
battlevoice_chr001_139,Linne: Well done. That's all I'll say.
battlevoice_chr001_140,Linne: Hmph. Too slow.
battlevoice_chr001_143,Linne: Not bad. That was actually entertaining.
battlevoice_chr001_146,Linne: Worse than bad... Unremarkable.
battlevoice_chr001_150,Linne: You've come a long way. But leave the rest to me.
battlevoice_chr001_153,Linne: Enough games. Rest now.
battlevoice_chr001_156,Linne: My long journey... comes to an end here.
battlevoice_chr002_100,Waldstein: Gwoooh! Break! Smash!
battlevoice_chr002_103,Waldstein: Prepare yourself... Uooohhh!
battlevoice_chr002_109,Waldstein: Hmm. Looks like you've grown a bit.
battlevoice_chr002_112,Waldstein: What can you cut with those slender arms?
battlevoice_chr002_115,Waldstein: Hmph. At least this might be a little enjoyable...
battlevoice_chr002_118,Waldstein: I'll have you accept my fists!
battlevoice_chr002_122,Waldstein: Let's allow the immense powers we've kept hidden to do the talking.
battlevoice_chr002_131,Waldstein: Stand up!
battlevoice_chr002_132,Waldstein: Do you understand the difference in our strength now?
battlevoice_chr002_135,Waldstein: ...I'm surprised you survived for this long.
battlevoice_chr002_136,Waldstein: There's nothing my claws can't rend!
battlevoice_chr002_139,"Waldstein: Heh. That was an exciting, heated battle."
battlevoice_chr002_142,Waldstein: Hmph. Boring.
battlevoice_chr002_147,"Waldstein: Not quite, boy."
battlevoice_chr002_149,"Waldstein: Not quite, girl."
battlevoice_chr002_151,"Waldstein: Not quite, inhuman one."
battlevoice_chr002_153,Waldstein: Heh... You're still green.
battlevoice_chr003_100,Carmine: Keh heh heh... It's too late for remorse now?
battlevoice_chr003_101,Carmine: You weaklings should keep your damn distance...
battlevoice_chr003_102,Carmine: I'm just gonna twist ya up a little.
battlevoice_chr003_107,"Carmine: Gotta have a hobby, right? Stay outta this."
battlevoice_chr003_110,Carmine: Keh... Worry 'bout your own damn life.
battlevoice_chr003_113,"Carmine: Don't get cocky, kid..."
battlevoice_chr003_122,Carmine: Keh heh heh heh heh... Haaa ha ha ha ha haah!
battlevoice_chr003_124,Carmine: C'mon! Try a little harder!
battlevoice_chr003_127,Carmine: That's not even close to enough!
battlevoice_chr003_128,Carmine: Now you know your place!
battlevoice_chr003_131,Carmine: Bastard... A dog like you should know better than to bite me!
battlevoice_chr003_134,Carmine: Tch... You can't even stave off my boredom.
battlevoice_chr003_138,"Carmine: I dunno what your deal is, but you're pissing me off..."
battlevoice_chr003_141,Carmine: Stupid kid... Go play house with your big sister.
battlevoice_chr004_100,"Orie: In the name of justice, I'll save you."
battlevoice_chr004_102,Orie: I'll have you withdraw from here.
battlevoice_chr004_103,Orie: I swing the hammer of light in accordance with the law.
battlevoice_chr004_108,"Orie: Indeed, though I admit I'm a bit reluctant."
battlevoice_chr004_110,Orie: Begone at once... or else.
battlevoice_chr004_111,Orie: Is this also fate at work?
battlevoice_chr004_113,"Orie: No more than you can, no."
battlevoice_chr004_115,Orie: Submit yourself to scrutiny.
battlevoice_chr004_117,"Orie: Those feelings are enough, Mika."
battlevoice_chr004_120,"Orie: I shall vanquish those desires within you, here and now."
battlevoice_chr004_122,Orie: I'll stop you in the name of Licht Kreis!
battlevoice_chr004_124,Orie: I cannot depend on you forever.
battlevoice_chr004_140,Orie: Stand up! This isn't finished yet!
battlevoice_chr004_141,Orie: The outcome is settled.
battlevoice_chr004_150,Orie: This was for the best... wasn't it?
battlevoice_chr004_151,Orie: Was there a meaning to this fight?
battlevoice_chr004_154,Orie: That was much too close...
battlevoice_chr004_158,Orie: Now you see the difference in the burdens we bear...
battlevoice_chr004_164,Orie: I shall fulfill my duty...
battlevoice_chr004_165,"Orie: I'm sorry, Kido..."
battlevoice_chr004_167,"Orie: I'm sorry, Erika. Leave the rest to me."
battlevoice_chr004_170,Orie: Was this... really for the best?
battlevoice_chr004_172,Orie: This one makes bedfellows with death!
battlevoice_chr005_100,Gordeau: Such turbulent wind...
battlevoice_chr005_101,Gordeau: So you finally showed up?
battlevoice_chr005_102,Gordeau: Let's get this over with.
battlevoice_chr005_103,Gordeau: This should be fun.
battlevoice_chr005_108,"Gordeau: So you came out yourself, huh? That's rare."
battlevoice_chr005_111,Gordeau: You look pale. Are you feeling okay?
battlevoice_chr005_114,"Gordeau: Watch your step. Go too far, and you might get hurt."
battlevoice_chr005_117,Gordeau: Found anyone who measures up yet?
battlevoice_chr005_120,"Gordeau: So we finally meet, Flame Tyrant."
battlevoice_chr005_121,Gordeau: Give me just a little of your time.
battlevoice_chr005_123,"Gordeau: I know this won't change anything, but..."
battlevoice_chr005_132,Gordeau: What a pushover.
battlevoice_chr005_133,Gordeau: We've both got bad luck.
battlevoice_chr005_138,Gordeau: Looks like your senses have dulled quite a bit.
battlevoice_chr005_139,"Gordeau: Whoa, there. I'm not happy with a win if you're holding back."
battlevoice_chr005_142,Gordeau: C'mon. Stand up.
battlevoice_chr005_143,Gordeau: This is the famous Flame Tyrant?
battlevoice_chr005_147,Gordeau: You faced the wrong guy.
battlevoice_chr005_148,"Gordeau: Your skills weren't too bad, either."
battlevoice_chr005_152,Gordeau: See? This is why the Night's so scary.
battlevoice_chr005_155,"Gordeau: There's such a thing as too strong, y'know..."
battlevoice_chr005_160,"Gordeau: Geez, you're a piece of work, you know that?"
battlevoice_chr005_162,"Gordeau: You don't disappoint, my friend. Or are you my greatest nemesis? Either way, I'm impressed."
battlevoice_chr005_163,Gordeau: This is fun. See? This is exactly why I can't stop fighting you.
battlevoice_chr005_166,Gordeau: What a letdown...
battlevoice_chr005_167,Gordeau: This changes... nothing.
battlevoice_chr006_100,Merkava: Gyo gyo goooh!
battlevoice_chr006_101,Merkava: Gyuoooh!
battlevoice_chr006_102,Merkava: Let me have a good taste of you.
battlevoice_chr006_103,Merkava: Kwehhh!
battlevoice_chr006_104,Merkava: Kwoooaaahhh!
battlevoice_chr006_109,"Merkava: That is the very definition of hubris, girl..."
battlevoice_chr006_112,"Merkava: Oh, such a thing never even existed."
battlevoice_chr006_115,Merkava: I shall be the one to devour this world!
battlevoice_chr006_125,Merkava: Kyuraaahhh!
battlevoice_chr006_126,Merkava: Keeeoooooohhh!
battlevoice_chr006_127,Merkava: I cannot contain my excitement!
battlevoice_chr006_130,"Merkava: Gwah... Gaaah, gaah! Gaaahhh, gaaahhh!"
battlevoice_chr006_131,"Merkava: I savored that, little human."
battlevoice_chr006_134,Merkava: Thank you for the entertainment.
battlevoice_chr006_138,Merkava: How trifling.
battlevoice_chr006_143,Merkava: I gratefully accept your soul to augment my own power.
battlevoice_chr006_145,Merkava: I shall swallow you along with this world...
battlevoice_chr007_100,Vatista: Commencing ability evaluation.
battlevoice_chr007_101,Vatista: Switching to obliteration task.
battlevoice_chr007_102,Vatista: Commencing cleanup operations.
battlevoice_chr007_105,Vatista: I'll defeat you and move on. That's my will.
battlevoice_chr007_107,Vatista: Fate turns in its cycle. Now we stand opposed.
battlevoice_chr007_114,Vatista: Assigned task complete. Resistance insignificant.
battlevoice_chr007_116,Vatista: Decreasing subject's evaluation score.
battlevoice_chr007_118,Vatista: *yawn* Sleepy.
battlevoice_chr007_119,Vatista: Assigned task complete. Switching to normal mode.
battlevoice_chr007_121,Vatista: Cleanup task complete. Damage insignificant.
battlevoice_chr007_123,Vatista: *yawn* Nnnh...
battlevoice_chr007_127,"Vatista: Combat effectiveness evaluated. As expected, it would be too dangerous to allow subject to proceed."
battlevoice_chr008_100,"Seth: If you value your life, stay out of my way."
battlevoice_chr008_101,Seth: Resistance is useless.
battlevoice_chr008_102,Seth: Cut the advertisement. Get ready.
battlevoice_chr008_107,Seth: You're nothing... Hmph!
battlevoice_chr008_109,Seth: I think it's clear there's no need...
battlevoice_chr008_112,"Seth: We talked about this. I'm the one who's supposed to go, remember?"
battlevoice_chr008_115,"Seth: The chains that bind me, for starters..."
battlevoice_chr008_118,Seth: Heh. Like I had any left in the first place.
battlevoice_chr008_121,Seth: Heh. A shattered plate can never be put back together.
battlevoice_chr008_124,"Seth: I've been waiting for this moment, Aeon!"
battlevoice_chr008_133,Seth: Finished already?
battlevoice_chr008_134,Seth: How anticlimactic.
battlevoice_chr008_135,Seth: ...Your doubts dull your judgment.
battlevoice_chr008_140,Seth: That's what all your big talk was about?
battlevoice_chr008_141,Seth: Stand up. You think this ends with just words?
battlevoice_chr008_144,Seth: This is the difference in the burdens we bear.
battlevoice_chr008_145,Seth: The Night and its causality... I'll put an end to it all.
battlevoice_chr008_148,Seth: This is indulgence. All things come to an end.
battlevoice_chr008_151,Seth: Know that resistance is pointless.
battlevoice_chr008_156,Seth: Sleep there until this is all over.
battlevoice_chr008_158,Seth: No need to fight anymore. I'll settle everything...
battlevoice_chr008_160,"Seth: Sleep now. I'll carry your sins with me, too."
battlevoice_chr009_100,Yuzuriha: Awriiight! Get ready!
battlevoice_chr009_101,Yuzuriha: Here's a challenge... Please accept!
battlevoice_chr009_102,"Yuzuriha: Sheesh... You're not gonna let me win easily, are you?"
battlevoice_chr009_103,"Yuzuriha: I like that look in your eyes... C'mon, let's go!"
battlevoice_chr009_104,Yuzuriha: I've already thrown away all doubt.
battlevoice_chr009_108,Yuzuriha: Looks like your doubts are gone.
battlevoice_chr009_110,Yuzuriha: Very well! I accept your challenge!
battlevoice_chr009_112,"Yuzuriha: Power and defense, huh? This is gonna be a tough one."
battlevoice_chr009_114,Yuzuriha: That's why I'm gonna change things up! Your fate included!
battlevoice_chr009_122,Yuzuriha: Easy win!
battlevoice_chr009_123,Yuzuriha: And thus! Darkness was vanquished!
battlevoice_chr009_124,Yuzuriha: Awright! Doing great!
battlevoice_chr009_125,"Yuzuriha: Welp, that about does it!"
battlevoice_chr009_126,"Yuzuriha: Know your role! Ha ha, just kidding!"
battlevoice_chr009_129,Yuzuriha: Heeey! You still alive?
battlevoice_chr009_130,"Yuzuriha: Learn your lesson and give up, okay?"
battlevoice_chr009_133,Yuzuriha: I'd say you tried harder than most.
battlevoice_chr009_136,Yuzuriha: I-I wonder if I overdid it...
battlevoice_chr009_140,"Yuzuriha: Look at you, growing so much! I love to see it!"
battlevoice_chr009_142,Yuzuriha: Just leave everything else to me!
battlevoice_chr010_100,"Hilda: Hee hee hee... Make this fun for me, won't you?"
battlevoice_chr010_101,Hilda: Sing my praises! Let me hear you!
battlevoice_chr010_102,Hilda: Hmm... I suppose I can spare some time to play with you.
battlevoice_chr010_110,"Hilda: So cheeky. You're making light of me, aren't you?"
battlevoice_chr010_111,Hilda: I hope you're prepared to be thoroughly trounced.
battlevoice_chr010_112,"Hilda: I'll defeat you, and then all the rest, by myself."
battlevoice_chr010_113,"Hilda: Let's settle this, shall we?"
battlevoice_chr010_114,Hilda: You must have been dreadfully bored until now.
battlevoice_chr010_115,Hilda: Do you have any idea how long it took me to get here?
battlevoice_chr010_116,Hilda: How kind of fate to include your crushing defeat.
battlevoice_chr010_130,Hilda: Hee hee... I've got nothing to say to a weakling like you.
battlevoice_chr010_131,Hilda: This is what we call power. Overwhelming power.
battlevoice_chr010_140,"Hilda: Splendid, Chaos. Maybe I misjudged you."
battlevoice_chr010_150,Hilda: ...Heh heh heh... Ahh ha ha ha ha haaa!
battlevoice_chr010_151,Hilda: Hee hee... How very wretched...
battlevoice_chr010_155,"Hilda: I was holding back, you know. I wonder if you noticed."
battlevoice_chr010_158,"Hilda: Oh, dear. How weak."
battlevoice_chr010_160,Hilda: Keep your mouth shut and come along with me.
battlevoice_chr010_161,Hilda: Ahh ha ha ha haaa! I feel amazing!
battlevoice_chr010_162,Hilda: Looks like rebirth isn't all it's cracked up to be.
battlevoice_chr011_100,Eltnum: Time for your punishment.
battlevoice_chr011_101,Eltnum: I'll show you what a difference experience can make.
battlevoice_chr011_106,"Eltnum: Shall we have one last dance, senpai?"
battlevoice_chr011_115,"Eltnum: You ought to look up the word ""reckless"" sometime."
battlevoice_chr011_116,Eltnum: These numbers are below the estimates... How shameful.
battlevoice_chr011_117,Eltnum: Hmph. How wretched...
battlevoice_chr011_120,Eltnum: And we're finished! No surprises there.
battlevoice_chr011_121,Eltnum: Have you learned your lesson?
battlevoice_chr011_124,"Eltnum: You surpassed my calculations... Impressive, but it doesn't change the results."
battlevoice_chr011_127,Eltnum: That was a simple problem.
battlevoice_chr011_132,Eltnum: I'm grateful for this chance!
battlevoice_chr012_100,Nanase: I can feel it in the wind... You're eager to fight!
battlevoice_chr012_101,Nanase: I'll show you my strength!
battlevoice_chr012_106,"Nanase: I found you... Prepare yourself, Hyde Kido!"
battlevoice_chr012_108,Nanase: Oh! Senpai!
battlevoice_chr012_117,Nanase: All right!
battlevoice_chr012_118,Nanase: I did it!
battlevoice_chr012_121,"Nanase: Oh, I gotta report this, ASAP! Um, hello? Yeah, it's me..."
battlevoice_chr012_122,Nanase: Now's my chance!
battlevoice_chr012_123,"Nanase: Here I am, in the Hollow Night! Aaand... send!"
battlevoice_chr012_126,"Nanase: Oh, I gotta take notes on that last attack!"
battlevoice_chr012_129,Nanase: Hashtag winning! Aaand... send!
battlevoice_chr012_134,"Nanase: I did it! Now prepare yourself, Hyde Kido!"
battlevoice_chr012_136,"Nanase: All right, I took down a senpai! This whole act is getting kinda old, though..."
battlevoice_chr013_080,"Tsukuyomi: I leave the rest to you, Byakuya."
battlevoice_chr013_081,Tsukuyomi: We can't get rid of this guy...
battlevoice_chr013_082,Tsukuyomi: We can't get rid of this girl...
battlevoice_chr013_083,Tsukuyomi: My little brother Byakuya has come to devour you.
battlevoice_chr013_101,"Byakuya: You can count on me, Sis."
battlevoice_chr013_104,Byakuya: Ah. Good evening.
battlevoice_chr013_105,"Byakuya: Sorry to rush this along, but you need to disappear."
battlevoice_chr013_106,Byakuya: You really are pushy.
battlevoice_chr013_107,"Byakuya: Well, well. We meet again."
battlevoice_chr013_109,Byakuya: Would you stop picking fights under my name?
battlevoice_chr013_118,Byakuya: I'll wipe that smile off your face.
battlevoice_chr013_120,Byakuya: Stop copying me.
battlevoice_chr013_129,"Byakuya: Hey, are you still alive?"
battlevoice_chr013_130,"Byakuya: You're not actually finished yet, are you?"
battlevoice_chr013_131,Byakuya: How weak.
battlevoice_chr013_132,Byakuya: Get it now? Your resistance was pointless.
battlevoice_chr013_135,Byakuya: You really are all talk.
battlevoice_chr013_136,Byakuya: Huh? Finished already?
battlevoice_chr013_137,Byakuya: You're not even worth eating.
battlevoice_chr013_138,Byakuya: Huh? You really are weak.
battlevoice_chr013_140,Byakuya: Aha ha ha! What a weakling.
battlevoice_chr013_141,Byakuya: Aha ha ha ha!
battlevoice_chr013_146,"Byakuya: You gave it your best shot, I guess. But it's over now."
battlevoice_chr013_149,Byakuya: What? That's all?
battlevoice_chr014_100,Akatsuki: I could survive even death itself!
battlevoice_chr014_101,Akatsuki: Send me all your slings and arrows!
battlevoice_chr014_102,Akatsuki: Is there no end to my misfortune?
battlevoice_chr014_106,Akatsuki: You're as strange as ever.
battlevoice_chr014_114,Akatsuki: Sei!
battlevoice_chr014_115,Akatsuki: How pitiful. Stand up!
battlevoice_chr014_116,Akatsuki: Finished already?!
battlevoice_chr014_119,Akatsuki: I am the god of thunder! I am invincible!
battlevoice_chr014_120,"Akatsuki: Even if my body dies, I'll fiercely defend the nation in spirit!"
battlevoice_chr014_123,Akatsuki: You put up an impressively ferocious fight...
battlevoice_chr014_126,Akatsuki: You lack training!
battlevoice_chr014_130,"Akatsuki: Farewell, my so-called junior. Keep your quarrels in moderation."
battlevoice_chr014_131,"Akatsuki: Ours is a strange bond... We may meet again, if we both survive."
battlevoice_chr015_100,Chaos: It looks like I'm on cleanup duty.
battlevoice_chr015_101,Chaos: I usually stick to more cerebral tasks...
battlevoice_chr015_102,Chaos: How long do you plan to flail about?
battlevoice_chr015_103,Chaos: Do go easy on me.
battlevoice_chr015_104,"Chaos: Just don't break my glasses, okay?"
battlevoice_chr015_108,Chaos: You were on my mind. What other reason is there?
battlevoice_chr015_110,Chaos: Hilda... You again...?
battlevoice_chr015_111,"Chaos: Well, at least I was prepared to run into you."
battlevoice_chr015_113,Chaos: Last chance. Want to join forces with us again?
battlevoice_chr015_115,"Chaos: If I win... you know what happens, right?"
battlevoice_chr015_117,"Chaos: The feeling's mutual. I don't mind you, either."
battlevoice_chr015_125,Chaos: You're more capable than I expected.
battlevoice_chr015_126,"Chaos: A sensible, intelligent victory."
battlevoice_chr015_127,"Chaos: ...You held back, didn't you, Gordeau?"
